Fecha,Local,Visitante,Goles_Local,Goles_Visita,Tiros_Local,Tiros_Visita,Corners_Local,Corners_Visita,Tarjetas_Local,Tarjetas_Visita,Faltas_Local,Faltas_Visita,xG_Local,xG_Visita,xG_Proxy_Local,xG_Proxy_Visita,TirosGol_Local,TirosGol_Visita,Atajadas_Local,Atajadas_Visita,Cuota_1,Cuota_X,Cuota_2,Cuota_Over25,Cuota_Under25,Apertura_1,Apertura_X,Apertura_2,Cierre_1,Cierre_X,Cierre_2,Apertura_Over25,Apertura_Under25,Cierre_Over25,Cierre_Under25,P_Apertura_1,P_Apertura_X,P_Apertura_2,P_Cierre_1,P_Cierre_X,P_Cierre_2,Movimiento_1_pp,Movimiento_X_pp,Movimiento_2_pp,Arbitro,Fuente,Fuente_xG,StatsBomb_match_id,xG_Real_Local,xG_Real_Visita,Tiros_SB_Local,Tiros_SB_Visita,TirosGol_SB_Local,TirosGol_SB_Visita,Fuente_xG_Real
2020-09-12,Cadiz,Osasuna,0,2,12.0,6.0,6.0,2.0,2.0,2.0,14.0,21.0,1.2,1.25,1.2,1.25,3.0,4.0,2.0,3.0,2.8,2.95,2.82,2.7,1.46,2.8,2.95,2.82,3.21,2.81,2.63,2.7,1.46,3.08,1.36,0.3398978549540347,0.32261491317671087,0.33748723186925433,0.2973640690951084,0.33969347394850463,0.3629424569563871,-4.253378585892631,1.707856077179376,2.545522508713277,Desconocido,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-12,Eibar,Celta,0,0,8.0,6.0,3.0,3.0,6.0,4.0,17.0,13.0,0.62,0.87,0.62,0.87,1.0,3.0,3.0,1.0,2.53,3.16,2.97,2.31,1.61,2.53,3.16,2.97,2.75,3.01,2.83,2.31,1.61,2.54,1.51,0.3770049931509876,0.30184260527594886,0.32115240157306346,0.34657807903719945,0.31664110211039814,0.3367808188524023,-3.0426914113788173,1.4798496834449282,1.5628417279338835,Desconocido,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-12,Granada,Ath Bilbao,2,0,4.0,9.0,1.0,2.0,3.0,4.0,8.0,10.0,0.78,0.85,0.78,0.85,2.0,2.0,2.0,0.0,2.82,3.0,2.75,2.61,1.49,2.82,3.0,2.75,2.65,2.86,3.12,2.61,1.49,2.99,1.38,0.33721643163703247,0.3169834457388105,0.34580012262415694,0.3602393198278577,0.3337881809593786,0.3059724992127637,2.302288819082521,1.6804735220568134,-3.982762341139323,Desconocido,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-13,Alaves,Betis,0,1,7.0,11.0,6.0,4.0,3.0,3.0,19.0,17.0,0.74,1.43,0.74,1.43,2.0,4.0,3.0,2.0,2.83,3.21,2.59,2.18,1.68,2.83,3.21,2.59,3.35,3.1,2.35,2.18,1.68,2.33,1.61,0.3362153680660307,0.2964141718463759,0.3673704600875934,0.28521092297151807,0.3082118038563179,0.4065772731721641,-5.100444509451263,1.1797632009941994,3.920681308457069,Desconocido,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-13,Valencia,Levante,4,2,14.0,19.0,3.0,4.0,1.0,3.0,9.0,14.0,2.61,2.69,2.61,2.69,8.0,8.0,6.0,4.0,2.1,3.46,3.53,1.81,2.0,2.1,3.46,3.53,2.41,3.27,3.07,1.81,2.0,2.03,1.8,0.4541661708710137,0.2756499881009043,0.27018384102808185,0.3965076644166472,0.2922273612367339,0.3112649743466189,-5.7658506454366485,1.6577373135829576,4.108113331853702,Desconocido,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-13,Valladolid,Sociedad,1,1,8.0,8.0,5.0,3.0,4.0,1.0,15.0,17.0,1.08,0.9,1.08,0.9,3.0,2.0,1.0,2.0,2.88,3.2,2.55,2.25,1.65,2.88,3.2,2.55,3.04,2.88,2.69,2.25,1.65,2.9,1.4,0.33009708737864074,0.29708737864077667,0.37281553398058254,0.31390599675850894,0.33134521880064827,0.35474878444084285,-1.6191090620131798,3.42578401598716,-1.806674953973969,Desconocido,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-13,Villarreal,Huesca,1,1,15.0,10.0,6.0,6.0,1.0,1.0,10.0,22.0,1.65,1.19,1.65,1.19,4.0,3.0,2.0,3.0,1.57,4.1,5.92,1.84,1.97,1.57,4.1,5.92,1.54,4.23,6.26,1.84,1.97,1.84,1.97,0.6067484263837574,0.23234025107865833,0.1609113225375843,0.62109001182144,0.22611787664421218,0.15279211153434785,1.4341585437682602,-0.6222374434446148,-0.8119211003236454,Desconocido,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-19,Celta,Valencia,2,1,23.0,9.0,6.0,6.0,3.0,1.0,12.0,13.0,2.54,1.14,2.54,1.14,6.0,3.0,2.0,4.0,2.24,3.5,3.17,2.02,1.8,2.24,3.5,3.17,2.16,3.36,3.52,2.02,1.8,2.13,1.72,0.42614400172070765,0.2727321611012529,0.3011238371780395,0.44316546762589926,0.28489208633093527,0.2719424460431655,1.7021465905191602,1.2159925229682345,-2.9181391134874,Desconocido,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-19,Getafe,Osasuna,1,0,7.0,10.0,4.0,1.0,4.0,2.0,19.0,13.0,0.66,1.09,0.66,1.09,1.0,3.0,3.0,0.0,1.99,3.18,4.36,2.72,1.45,1.99,3.18,4.36,1.99,3.1,4.54,2.72,1.45,3.02,1.38,0.4802593749783508,0.3005396717631818,0.21920095325846747,0.48070880126786353,0.30858403694291886,0.21070716178921772,0.04494262895127221,0.8044365179737056,-0.8493791469249751,Desconocido,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-19,Villarreal,Eibar,2,1,14.0,12.0,4.0,3.0,1.0,1.0,5.0,12.0,2.41,1.48,2.41,1.48,8.0,4.0,3.0,6.0,1.6,4.05,5.72,1.87,1.94,1.6,4.05,5.72,1.68,3.7,5.57,1.87,1.94,2.22,1.67,0.5970926336409094,0.23588844785813703,0.16701891850095368,0.5695831698109036,0.25862154737359944,0.17179528281549694,-2.7509463830005743,2.2733099515462403,0.47763643145432577,Desconocido,football-data.co.uk,proxy_shots,,,,,,,,
