Fecha,Local,Visitante,Goles_Local,Goles_Visita,Corners_Local,Corners_Visita,Tarjetas_Local,Tarjetas_Visita,xG_Local,xG_Visita,TirosGol_Local,TirosGol_Visita,Atajadas_Local,Atajadas_Visita,Arbitro,Fuente,Fuente_xG
2020-08-21,Bordeaux,Nantes,0,0,2.0,3.0,4.0,3.0,0.46,0.51,1.0,1.0,1.0,1.0,Desconocido,football-data.co.uk,proxy_shots
2020-08-22,Dijon,Angers,0,1,3.0,9.0,0.0,0.0,0.68,1.48,1.0,4.0,3.0,1.0,Desconocido,football-data.co.uk,proxy_shots
2020-08-22,Lille,Rennes,1,1,4.0,2.0,2.0,3.0,0.56,1.52,1.0,3.0,2.0,0.0,Desconocido,football-data.co.uk,proxy_shots
2020-08-23,Lorient,Strasbourg,3,1,6.0,1.0,3.0,2.0,2.11,0.66,7.0,1.0,0.0,4.0,Desconocido,football-data.co.uk,proxy_shots
2020-08-23,Monaco,Reims,2,2,8.0,1.0,1.0,3.0,2.31,1.24,5.0,3.0,1.0,3.0,Desconocido,football-data.co.uk,proxy_shots
2020-08-23,Nice,Lens,2,1,1.0,7.0,2.0,3.0,0.78,1.76,2.0,4.0,3.0,0.0,Desconocido,football-data.co.uk,proxy_shots
2020-08-23,Nimes,Brest,4,0,4.0,4.0,2.0,5.0,1.96,1.09,5.0,3.0,3.0,1.0,Desconocido,football-data.co.uk,proxy_shots
2020-08-28,Lyon,Dijon,4,1,13.0,2.0,3.0,3.0,4.0,0.79,12.0,2.0,1.0,8.0,Desconocido,football-data.co.uk,proxy_shots
2020-08-29,Rennes,Montpellier,2,1,2.0,1.0,5.0,4.0,2.34,1.25,7.0,3.0,2.0,5.0,Desconocido,football-data.co.uk,proxy_shots
2020-08-29,Strasbourg,Nice,0,2,3.0,1.0,2.0,6.0,0.33,0.73,0.0,2.0,0.0,0.0,Desconocido,football-data.co.uk,proxy_shots
2020-08-30,Angers,Bordeaux,0,2,5.0,7.0,1.0,3.0,1.02,1.84,2.0,7.0,5.0,2.0,Desconocido,football-data.co.uk,proxy_shots
2020-08-30,Brest,Marseille,2,3,10.0,2.0,2.0,4.0,1.96,1.41,4.0,4.0,1.0,2.0,Desconocido,football-data.co.uk,proxy_shots
2020-08-30,Metz,Monaco,0,1,10.0,1.0,0.0,7.0,1.49,0.62,4.0,2.0,1.0,4.0,Desconocido,football-data.co.uk,proxy_shots
2020-08-30,Nantes,Nimes,2,1,4.0,8.0,7.0,2.0,1.54,2.65,5.0,9.0,8.0,3.0,Desconocido,football-data.co.uk,proxy_shots
2020-08-30,Reims,Lille,0,1,1.0,2.0,4.0,1.0,0.22,1.19,0.0,3.0,2.0,0.0,Desconocido,football-data.co.uk,proxy_shots
2020-08-30,St Etienne,Lorient,2,0,2.0,5.0,2.0,1.0,1.81,0.51,5.0,1.0,1.0,3.0,Desconocido,football-data.co.uk,proxy_shots
2020-09-10,Lens,Paris SG,1,0,4.0,2.0,2.0,2.0,1.03,0.62,3.0,1.0,1.0,2.0,Desconocido,football-data.co.uk,proxy_shots
2020-09-11,Bordeaux,Lyon,0,0,4.0,5.0,2.0,3.0,0.28,1.64,0.0,3.0,3.0,0.0,Desconocido,football-data.co.uk,proxy_shots
2020-09-12,Montpellier,Nice,3,1,8.0,9.0,0.0,2.0,3.74,0.78,13.0,1.0,0.0,10.0,Desconocido,football-data.co.uk,proxy_shots
2020-09-12,St Etienne,Strasbourg,2,0,6.0,3.0,1.0,3.0,1.47,2.03,4.0,7.0,7.0,2.0,Desconocido,football-data.co.uk,proxy_shots
2020-09-13,Angers,Reims,1,0,1.0,2.0,6.0,4.0,2.46,0.74,7.0,2.0,2.0,6.0,Desconocido,football-data.co.uk,proxy_shots
2020-09-13,Dijon,Brest,0,2,5.0,7.0,4.0,0.0,0.93,2.15,3.0,5.0,3.0,3.0,Desconocido,football-data.co.uk,proxy_shots
2020-09-13,Lille,Metz,1,0,8.0,3.0,4.0,4.0,2.06,0.46,6.0,1.0,1.0,5.0,Desconocido,football-data.co.uk,proxy_shots
2020-09-13,Lorient,Lens,2,3,4.0,2.0,4.0,5.0,1.07,2.04,3.0,6.0,3.0,1.0,Desconocido,football-data.co.uk,proxy_shots
2020-09-13,Monaco,Nantes,2,1,9.0,4.0,3.0,1.0,2.09,0.84,5.0,2.0,1.0,3.0,Desconocido,football-data.co.uk,proxy_shots
2020-09-13,Nimes,Rennes,2,4,8.0,4.0,2.0,6.0,2.75,2.03,9.0,6.0,2.0,7.0,Desconocido,football-data.co.uk,proxy_shots
2020-09-13,Paris SG,Marseille,0,1,4.0,2.0,12.0,12.0,1.49,0.73,4.0,2.0,1.0,4.0,Desconocido,football-data.co.uk,proxy_shots
2020-09-15,Montpellier,Lyon,2,1,4.0,11.0,5.0,4.0,1.29,2.4,3.0,7.0,6.0,1.0,Desconocido,football-data.co.uk,proxy_shots
2020-09-16,Paris SG,Metz,1,0,8.0,2.0,5.0,2.0,2.64,0.56,8.0,1.0,1.0,7.0,Desconocido,football-data.co.uk,proxy_shots
2020-09-17,Marseille,St Etienne,0,2,7.0,6.0,2.0,2.0,1.07,1.76,2.0,5.0,3.0,2.0,Desconocido,football-data.co.uk,proxy_shots
2020-09-18,Lyon,Nimes,0,0,9.0,2.0,3.0,2.0,1.42,1.09,3.0,3.0,3.0,3.0,Desconocido,football-data.co.uk,proxy_shots
2020-09-19,Lens,Bordeaux,2,1,7.0,0.0,5.0,7.0,2.15,1.03,5.0,3.0,2.0,3.0,Desconocido,football-data.co.uk,proxy_shots
2020-09-19,Rennes,Monaco,2,1,9.0,10.0,1.0,2.0,1.51,1.23,3.0,2.0,1.0,1.0,Desconocido,football-data.co.uk,proxy_shots
