Fecha,Local,Visitante,Goles_Local,Goles_Visita,Tiros_Local,Tiros_Visita,Corners_Local,Corners_Visita,Tarjetas_Local,Tarjetas_Visita,Faltas_Local,Faltas_Visita,xG_Local,xG_Visita,xG_Proxy_Local,xG_Proxy_Visita,TirosGol_Local,TirosGol_Visita,Atajadas_Local,Atajadas_Visita,Cuota_1,Cuota_X,Cuota_2,Cuota_Over25,Cuota_Under25,Apertura_1,Apertura_X,Apertura_2,Cierre_1,Cierre_X,Cierre_2,Apertura_Over25,Apertura_Under25,Cierre_Over25,Cierre_Under25,P_Apertura_1,P_Apertura_X,P_Apertura_2,P_Cierre_1,P_Cierre_X,P_Cierre_2,Movimiento_1_pp,Movimiento_X_pp,Movimiento_2_pp,Arbitro,Fuente,Fuente_xG,StatsBomb_match_id,xG_Real_Local,xG_Real_Visita,Tiros_SB_Local,Tiros_SB_Visita,TirosGol_SB_Local,TirosGol_SB_Visita,Fuente_xG_Real
2020-09-12,Crystal Palace,Southampton,1,0,5.0,9.0,7.0,3.0,2.0,1.0,14.0,11.0,0.92,1.4,0.92,1.4,3.0,5.0,5.0,2.0,3.18,3.22,2.39,2.24,1.67,3.18,3.22,2.39,3.08,3.22,2.47,2.24,1.67,2.18,1.7,0.3013753348266734,0.29763154184746005,0.4009931233258667,0.31216000879169187,0.29858783449640086,0.38925215671190727,1.0784673965018476,0.09562926489408152,-1.1740966613959403,J Moss,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-12,Fulham,Arsenal,0,3,5.0,13.0,2.0,3.0,2.0,2.0,12.0,12.0,0.64,2.09,0.64,2.09,2.0,6.0,3.0,2.0,5.94,4.34,1.55,1.76,2.1,5.94,4.34,1.55,5.36,3.93,1.67,1.76,2.1,2.0,1.84,0.16126634958382877,0.22071938168846614,0.6180142687277052,0.17942212902996516,0.2447080436642782,0.5758698273057565,1.8155779446136389,2.3988661975812064,-4.214444142194862,C Kavanagh,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-12,Liverpool,Leeds,4,3,22.0,6.0,9.0,0.0,1.0,0.0,9.0,6.0,2.69,1.17,2.69,1.17,6.0,3.0,0.0,2.0,1.3,5.96,9.68,1.52,2.53,1.3,5.96,9.68,1.28,6.16,10.63,1.52,2.53,1.5,2.62,0.7394161856230326,0.16128205391106418,0.09930176046590315,0.752895184657131,0.15644575265602723,0.09065906268684175,1.3478999034098438,-0.4836301255036951,-0.8642697779061403,M Oliver,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-12,West Ham,Newcastle,0,2,15.0,15.0,8.0,7.0,2.0,2.0,13.0,7.0,1.36,1.39,1.36,1.39,3.0,2.0,0.0,3.0,2.15,3.48,3.42,1.97,1.86,2.15,3.48,3.42,2.01,3.57,3.79,1.97,1.86,1.91,1.92,0.44514261349610645,0.2750162698323646,0.2798411166715289,0.4776990456822684,0.2689566055522015,0.2533443487655302,3.2556432186161945,-0.605966428016308,-2.6496767905998695,S Attwell,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-13,Tottenham,Everton,0,1,9.0,15.0,5.0,3.0,1.0,0.0,15.0,7.0,1.4,1.65,1.4,1.65,5.0,4.0,3.0,5.0,1.9,3.55,4.2,1.94,1.88,1.9,3.55,4.2,2.07,3.39,3.79,1.94,1.88,2.05,1.79,0.5031213092626962,0.26927619368989375,0.22760249704741015,0.4636512249780771,0.28311446480962227,0.25323431021230064,-3.9470084284619067,1.3838271119728518,2.5631813164890493,M Atkinson,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-13,West Brom,Leicester,0,3,7.0,13.0,2.0,5.0,1.0,1.0,12.0,9.0,0.56,2.28,0.56,2.28,1.0,7.0,4.0,1.0,3.87,3.57,1.97,1.92,1.9,3.87,3.57,1.97,3.32,3.33,2.28,1.92,1.9,2.15,1.73,0.247005025866883,0.2677617507296463,0.4852332234034707,0.28959172464298794,0.2887220798242402,0.42168619553277187,4.258669877610494,2.096032909459389,-6.354702787069883,A Taylor,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-14,Brighton,Chelsea,1,3,13.0,10.0,4.0,3.0,1.0,0.0,8.0,13.0,1.35,1.75,1.35,1.75,3.0,5.0,2.0,2.0,5.12,4.13,1.65,1.76,2.08,5.12,4.13,1.65,5.91,4.35,1.56,1.76,2.08,1.71,2.17,0.18716988801942425,0.23203627764151386,0.580793834339062,0.16267880644674101,0.22101879220695161,0.6163024013463073,-2.449108157268323,-1.1017485434562242,3.550856700724536,C Pawson,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-14,Sheffield United,Wolves,0,2,9.0,11.0,12.0,5.0,2.0,1.0,13.0,7.0,0.85,1.52,0.85,1.52,2.0,4.0,2.0,2.0,3.36,3.0,2.41,2.68,1.48,3.36,3.0,2.41,3.23,2.86,2.62,2.68,1.48,3.01,1.39,0.2845605251971851,0.31870778822084733,0.3967316865819676,0.2974247427918202,0.33590276895719556,0.36667248825098436,1.2864217594635075,1.719498073634823,-3.005919833098325,M Dean,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-19,Arsenal,West Ham,2,1,7.0,14.0,7.0,5.0,0.0,1.0,11.0,13.0,1.12,1.41,1.12,1.41,3.0,3.0,2.0,1.0,1.53,4.51,5.91,1.64,2.3,1.53,4.51,5.91,1.51,4.46,6.48,1.64,2.3,1.67,2.24,0.625731570755481,0.21227700737381067,0.1619914218707083,0.6362983870612635,0.21542837768217665,0.14827323525655983,1.056681630578249,0.3151370308365986,-1.3718186614148475,M Oliver,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-19,Everton,West Brom,5,2,17.0,6.0,11.0,1.0,1.0,2.0,9.0,11.0,2.7,1.25,2.7,1.25,7.0,4.0,2.0,2.0,1.54,4.25,6.3,1.81,2.03,1.54,4.25,6.3,1.59,4.03,6.15,1.81,2.03,1.98,1.85,0.6223560039049789,0.22551252847380412,0.15213146762121704,0.6049323052815793,0.23867056213342705,0.15639713258499366,-1.7423698623399653,1.3158033659622925,0.42656649637766164,M Dean,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-19,Leeds,Fulham,4,3,10.0,14.0,5.0,3.0,1.0,2.0,13.0,18.0,2.21,2.15,2.21,2.15,7.0,6.0,3.0,3.0,1.64,3.97,5.5,1.93,1.91,1.64,3.97,5.5,1.73,3.81,5.05,1.93,1.91,1.96,1.88,0.5843578887645922,0.241397213494693,0.17424489774071478,0.5565937578648648,0.2527315488467758,0.1906746932883596,-2.77641308997274,1.133433535208278,1.6429795547644814,A Taylor,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-19,Man United,Crystal Palace,1,3,13.0,14.0,9.0,3.0,2.0,1.0,13.0,10.0,1.54,1.97,1.54,1.97,4.0,5.0,2.0,3.0,1.32,5.57,9.56,1.66,2.24,1.32,5.57,9.56,1.37,5.07,8.7,1.66,2.24,1.68,2.22,0.7272414395909359,0.17234447042370474,0.10041408998535935,0.700433036543711,0.1892688875867621,0.11029807586952692,-2.680840304722487,1.692441716305737,0.988398588416757,M Atkinson,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-20,Chelsea,Liverpool,0,2,5.0,18.0,1.0,11.0,2.0,0.0,10.0,6.0,0.82,2.27,0.82,2.27,3.0,6.0,4.0,3.0,3.15,3.72,2.18,1.61,2.35,3.15,3.72,2.18,3.39,3.82,2.07,1.61,2.35,1.62,2.34,0.30379177811242725,0.25724303791778114,0.4389651839697917,0.2836786310068342,0.251746219663133,0.46457514933003285,-2.0113147105593034,-0.549681825464815,2.5609965360241183,P Tierney,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-20,Leicester,Burnley,4,2,14.0,16.0,15.0,4.0,1.0,2.0,11.0,13.0,2.25,1.98,2.25,1.98,6.0,5.0,3.0,2.0,1.63,3.98,5.64,1.95,1.88,1.63,3.98,5.64,1.56,4.19,6.26,1.95,1.88,1.88,1.95,0.5887357780936745,0.24111540660620334,0.17014881530012224,0.6167067155090122,0.22960918286254392,0.15368410162844395,2.7970937415337738,-1.150622374365942,-1.6464713671678288,L Mason,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-20,Newcastle,Brighton,0,3,6.0,13.0,7.0,1.0,3.0,2.0,16.0,15.0,0.33,2.09,0.33,2.09,0.0,6.0,3.0,0.0,2.68,3.15,2.82,2.38,1.59,2.68,3.15,2.82,2.64,3.17,2.88,2.38,1.59,2.21,1.68,0.356996455354344,0.30373031757131486,0.3392732270743411,0.36370589922554736,0.3028970264843675,0.3333970742900851,0.6709443871203369,-0.0833291086947352,-0.5876152784256017,K Friend,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-20,Southampton,Tottenham,2,5,14.0,9.0,3.0,2.0,4.0,3.0,16.0,18.0,2.23,2.08,2.23,2.08,7.0,6.0,1.0,5.0,3.1,3.35,2.37,1.97,1.87,3.1,3.35,2.37,3.34,3.37,2.25,1.97,1.87,1.97,1.86,0.3092729291237365,0.28619285978614417,0.4045342110901194,0.28772487696038074,0.2851635279073209,0.4271115951322984,-2.1548052163355758,-0.10293318788232586,2.2577384042179016,D Coote,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-21,Aston Villa,Sheffield United,1,0,18.0,4.0,10.0,4.0,3.0,3.0,12.0,13.0,1.45,0.4,1.45,0.4,2.0,1.0,1.0,1.0,2.71,3.19,2.75,2.25,1.66,2.71,3.19,2.75,2.46,3.16,3.16,2.25,1.66,2.23,1.67,0.35273563625105053,0.2996594276615508,0.3476049360873989,0.39108910891089116,0.3044554455445545,0.3044554455445545,3.835347265984063,0.47960178830037115,-4.3149490542844395,G Scott,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-21,Wolves,Man City,1,3,10.0,14.0,4.0,6.0,0.0,3.0,6.0,8.0,0.83,2.69,0.83,2.69,1.0,9.0,6.0,0.0,6.11,4.35,1.54,1.7,2.18,6.11,4.35,1.54,6.81,4.5,1.49,1.7,2.18,1.78,2.07,0.15693339174313428,0.22042828127598865,0.622638326980877,0.1411671077480846,0.21363288972543468,0.6452000025264807,-1.5766283995049672,-0.6795391550553975,2.256167554560373,A Marriner,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-26,Brighton,Man United,2,3,18.0,7.0,7.0,1.0,4.0,2.0,18.0,16.0,2.09,1.23,2.09,1.23,5.0,3.0,0.0,3.0,4.83,3.75,1.75,1.86,1.97,4.83,3.75,1.75,5.37,4.15,1.62,1.86,1.97,1.7,2.19,0.1980982567353407,0.2551505546751189,0.5467511885895404,0.17829155163772048,0.2307049716372431,0.5910034767250364,-1.9806705097620225,-2.444558303787578,4.425228813549598,C Kavanagh,football-data.co.uk,proxy_shots,,,,,,,,
2020-09-26,Burnley,Southampton,0,1,10.0,5.0,8.0,2.0,1.0,0.0,8.0,10.0,0.91,0.56,0.91,0.56,2.0,1.0,0.0,2.0,3.3,3.25,2.31,2.09,1.75,3.3,3.25,2.31,3.26,3.39,2.27,2.09,1.75,1.93,1.89,0.29036375239310785,0.2948308870453095,0.4148053605615826,0.2943102241565922,0.2830239913718261,0.4226657844715817,0.3946471763484338,-1.180689567348342,0.7860423909999081,A Marriner,football-data.co.uk,proxy_shots,,,,,,,,
