Fecha,Local_SB,Visitante_SB,Local_norm,Visitante_norm,StatsBomb_match_id,xG_Real_Local,xG_Real_Visita,Tiros_SB_Local,Tiros_SB_Visita,TirosGol_SB_Local,TirosGol_SB_Visita,Pases_SB_Local,Pases_SB_Visita,Presiones_SB_Local,Presiones_SB_Visita,Posesiones_SB_Local,Posesiones_SB_Visita,PPDA_Local,PPDA_Visita,xThreat_Local,xThreat_Visita,Fuente_xG_Real
2020-07-05,Villarreal,Barcelona,villarreal,barcelona,303725,0.9126,2.5672,10,18,4,13,404,855,155,168,166,159,4.206,1.895,2.078,4.1259,StatsBomb Open Data
2020-07-08,Barcelona,Espanyol,barcelona,espanyol,303615,1.1555,0.7635,9,11,2,2,859,295,82,166,137,139,2.2,3.704,3.9579,1.896,StatsBomb Open Data
2020-07-11,Real Valladolid,Barcelona,realvalladolid,barcelona,303680,0.7674,1.2267,13,10,5,6,420,753,164,136,160,180,3.235,1.897,2.3666,3.2025,StatsBomb Open Data
2020-07-16,Barcelona,Osasuna,barcelona,osasuna,303634,1.0125,0.4741,18,9,2,5,869,236,99,177,184,153,1.145,3.504,4.8433,1.3182,StatsBomb Open Data
2020-07-19,Deportivo Alavés,Barcelona,deportivoalaves,barcelona,303421,0.4064,2.9131,7,16,0,8,376,792,165,156,155,149,4.268,1.911,1.7886,3.8498,StatsBomb Open Data
2020-09-27,Barcelona,Villarreal,barcelona,villarreal,3773593,2.6873,0.1825,17,5,9,1,735,577,116,121,147,148,3.424,4.125,4.8036,2.6837,StatsBomb Open Data
2020-10-01,Celta Vigo,Barcelona,celtavigo,barcelona,3773466,0.4662,0.7397,10,7,3,4,460,600,168,125,150,154,2.133,2.417,2.8096,2.5129,StatsBomb Open Data
2020-10-04,Barcelona,Sevilla,barcelona,sevilla,3773672,1.6534,0.688,11,10,5,1,681,575,96,203,162,168,3.974,2.478,2.6585,2.7986,StatsBomb Open Data
2020-10-17,Getafe,Barcelona,getafe,barcelona,3773587,1.6521,0.7844,9,7,4,1,249,659,146,77,139,137,2.815,1.765,2.1645,2.8499,StatsBomb Open Data
2020-10-24,Barcelona,Real Madrid,barcelona,realmadrid,3773585,1.2489,2.9001,10,16,4,9,626,577,142,198,166,162,2.707,2.652,3.5216,3.1014,StatsBomb Open Data
2020-10-31,Deportivo Alavés,Barcelona,deportivoalaves,barcelona,3773386,1.1285,2.0911,4,25,3,8,238,880,222,85,153,144,3.75,1.39,1.0943,5.5688,StatsBomb Open Data
2020-11-07,Barcelona,Real Betis,barcelona,realbetis,3773477,4.1866,1.0052,17,12,9,6,653,447,122,155,150,156,2.62,3.348,5.1347,2.4481,StatsBomb Open Data
2020-11-21,Atlético Madrid,Barcelona,atleticomadrid,barcelona,3773656,0.5629,0.9543,10,13,2,4,570,651,183,173,155,147,2.8,2.582,3.2865,3.4392,StatsBomb Open Data
2020-11-29,Barcelona,Osasuna,barcelona,osasuna,3773547,4.1782,1.1068,20,10,10,5,852,351,88,125,208,164,2.48,4.565,4.2256,2.3797,StatsBomb Open Data
2020-12-05,Cádiz,Barcelona,cadiz,barcelona,3773428,2.2947,1.5288,8,21,3,8,198,918,119,80,154,141,4.443,1.171,1.4679,6.525,StatsBomb Open Data
2020-12-13,Barcelona,Levante UD,barcelona,levanteud,3773660,2.059,0.7362,24,6,13,3,716,407,92,159,146,172,2.838,2.957,5.6571,1.92,StatsBomb Open Data
2020-12-16,Barcelona,Real Sociedad,barcelona,realsociedad,3773523,2.6483,1.9268,14,12,4,5,536,480,182,215,148,148,2.1,1.614,3.4299,2.8459,StatsBomb Open Data
2020-12-19,Barcelona,Valencia,barcelona,valencia,3773377,2.8936,1.6375,24,11,9,4,760,309,109,126,148,151,1.628,3.148,5.4866,2.2745,StatsBomb Open Data
2020-12-22,Real Valladolid,Barcelona,realvalladolid,barcelona,3773571,0.6726,3.5577,12,21,5,10,470,717,175,148,192,188,3.448,2.165,2.1621,4.4674,StatsBomb Open Data
2021-01-03,Huesca,Barcelona,huesca,barcelona,3773552,0.3877,2.5088,4,20,4,6,375,840,194,153,158,185,4.231,1.619,1.7178,5.7718,StatsBomb Open Data
2021-01-06,Athletic Club,Barcelona,athleticclub,barcelona,3764661,0.8415,1.4725,8,13,4,9,518,685,122,140,168,158,3.752,3.0,2.7361,3.2931,StatsBomb Open Data
2021-01-09,Granada,Barcelona,granada,barcelona,3773565,0.451,1.4928,8,14,4,4,323,830,116,89,130,129,4.121,2.368,1.992,3.5592,StatsBomb Open Data
2021-01-31,Barcelona,Athletic Club,barcelona,athleticclub,3773403,1.7285,0.2268,12,7,6,2,637,458,92,161,168,175,2.704,2.602,3.0689,2.0375,StatsBomb Open Data
2021-02-07,Real Betis,Barcelona,realbetis,barcelona,3773631,1.3951,0.9876,8,12,5,3,426,758,162,130,150,151,3.755,2.343,2.5013,3.6699,StatsBomb Open Data
2021-02-13,Barcelona,Deportivo Alavés,barcelona,deportivoalaves,3773526,2.6926,0.6092,17,6,9,2,899,321,97,200,127,132,2.189,3.231,3.8567,1.5489,StatsBomb Open Data
2021-02-21,Barcelona,Cádiz,barcelona,cadiz,3773415,2.1456,1.0837,20,3,4,1,956,221,81,124,154,164,1.361,4.156,5.9222,1.0561,StatsBomb Open Data
2021-02-24,Barcelona,Elche,barcelona,elche,3764440,2.7011,0.6705,9,6,5,1,787,428,135,177,126,127,2.242,4.422,3.867,1.9915,StatsBomb Open Data
2021-02-27,Sevilla,Barcelona,sevilla,barcelona,3773625,0.0893,1.9293,3,9,1,5,516,612,174,130,161,157,2.453,2.343,1.8055,3.279,StatsBomb Open Data
2021-03-06,Osasuna,Barcelona,osasuna,barcelona,3773665,1.2082,1.0569,10,13,3,6,449,759,215,159,146,153,2.598,2.148,2.8326,3.9809,StatsBomb Open Data
2021-03-15,Barcelona,Huesca,barcelona,huesca,3773369,0.9575,2.1016,12,8,5,4,938,419,187,266,200,158,1.559,3.608,4.9023,2.2919,StatsBomb Open Data
2021-03-21,Real Sociedad,Barcelona,realsociedad,barcelona,3773597,0.6806,2.7191,10,14,5,10,350,778,198,168,166,193,3.107,1.568,1.589,3.7802,StatsBomb Open Data
2021-04-05,Barcelona,Real Valladolid,barcelona,realvalladolid,3773474,1.823,0.3547,25,7,10,2,742,346,187,187,173,180,1.234,3.327,4.9158,1.9832,StatsBomb Open Data
2021-04-10,Real Madrid,Barcelona,realmadrid,barcelona,3773497,1.3218,1.4945,14,18,3,4,355,748,218,144,171,163,2.723,1.721,2.5853,4.976,StatsBomb Open Data
2021-04-22,Barcelona,Getafe,barcelona,getafe,3773661,1.6199,1.5027,9,5,6,1,973,229,140,276,130,133,1.177,2.8,3.4076,2.0466,StatsBomb Open Data
2021-04-25,Villarreal,Barcelona,villarreal,barcelona,3773689,1.3721,3.3228,10,15,4,5,484,628,116,237,158,168,3.615,1.665,2.9702,3.2846,StatsBomb Open Data
2021-04-29,Barcelona,Granada,barcelona,granada,3773586,1.2332,0.5357,16,5,4,2,904,209,106,248,142,144,1.098,2.769,5.6076,1.491,StatsBomb Open Data
2021-05-02,Valencia,Barcelona,valencia,barcelona,3773695,1.3016,3.0857,9,14,4,6,381,807,126,72,138,146,4.467,2.787,1.7271,4.5247,StatsBomb Open Data
2021-05-08,Barcelona,Atlético Madrid,barcelona,atleticomadrid,3773372,0.8649,0.5556,12,10,6,5,634,445,177,176,199,177,1.912,2.61,3.4799,2.4232,StatsBomb Open Data
2021-05-11,Levante UD,Barcelona,levanteud,barcelona,3773387,1.0173,2.8138,16,17,6,5,419,657,180,211,141,151,2.403,1.663,2.4004,3.6543,StatsBomb Open Data
2021-05-16,Barcelona,Celta Vigo,barcelona,celtavigo,3773457,2.1591,0.7297,21,4,4,4,761,440,159,252,187,186,1.822,2.868,5.092,1.0899,StatsBomb Open Data
2021-08-29,Stade de Reims,Paris Saint-Germain,stadedereims,parissaintgermain,3802696,0.5734,1.0116,11,12,4,3,393,763,185,103,164,169,2.916,2.125,1.704,3.4271,StatsBomb Open Data
2021-09-19,Paris Saint-Germain,Lyon,parissaintgermain,lyon,3802752,2.0064,0.6762,15,12,5,5,551,479,159,167,166,169,2.05,2.618,3.3227,1.9722,StatsBomb Open Data
2021-10-03,Rennes,Paris Saint-Germain,rennes,parissaintgermain,3802809,0.7537,1.3219,12,13,4,0,329,651,188,142,149,158,2.7,1.755,2.5807,3.966,StatsBomb Open Data
2021-10-24,Olympique de Marseille,Paris Saint-Germain,olympiquedemarseille,parissaintgermain,3802902,0.9411,1.0543,15,10,1,4,524,561,136,86,139,134,3.152,3.63,3.0736,3.0715,StatsBomb Open Data
2021-10-29,Paris Saint-Germain,Lille,parissaintgermain,lille,3802699,2.41,1.7375,17,11,7,3,609,416,123,121,141,164,2.059,3.857,3.6916,2.3886,StatsBomb Open Data
2021-11-20,Paris Saint-Germain,Nantes,parissaintgermain,nantes,3802984,1.7017,2.1604,14,12,7,6,813,416,116,198,160,154,2.687,4.014,3.7054,2.9961,StatsBomb Open Data
2021-11-28,Saint-Étienne,Paris Saint-Germain,saintetienne,parissaintgermain,3802837,0.532,2.9232,8,15,4,8,304,753,184,149,145,164,3.225,1.311,1.2832,4.7841,StatsBomb Open Data
2021-12-01,Paris Saint-Germain,OGC Nice,parissaintgermain,ogcnice,3802793,1.7922,0.9023,22,4,5,2,788,340,119,147,156,166,1.671,4.355,3.9666,1.6184,StatsBomb Open Data
2021-12-04,Lens,Paris Saint-Germain,lens,parissaintgermain,3802685,1.0683,1.6981,18,13,7,6,421,738,146,136,152,174,3.513,2.008,2.8818,3.2949,StatsBomb Open Data
2021-12-12,Paris Saint-Germain,AS Monaco,parissaintgermain,asmonaco,3802683,1.4626,0.6936,9,13,2,3,577,519,119,168,154,147,3.343,2.248,1.9369,2.5644,StatsBomb Open Data
2021-12-22,Lorient,Paris Saint-Germain,lorient,parissaintgermain,3802690,1.2863,2.0402,17,17,5,4,256,838,137,122,135,140,4.85,1.189,2.1289,5.6711,StatsBomb Open Data
2022-01-23,Paris Saint-Germain,Stade de Reims,parissaintgermain,stadedereims,3802802,2.5334,0.5194,22,7,7,3,878,412,164,188,171,155,1.608,3.797,4.1905,1.8468,StatsBomb Open Data
2022-02-06,Lille,Paris Saint-Germain,lille,parissaintgermain,3802907,1.0229,2.9327,10,18,5,7,462,648,158,128,164,167,3.169,2.389,3.1286,3.3213,StatsBomb Open Data
2022-02-11,Paris Saint-Germain,Rennes,parissaintgermain,rennes,3802795,0.9943,0.7518,12,13,1,1,726,426,125,200,144,150,1.939,3.419,3.6486,1.8887,StatsBomb Open Data
2022-02-19,Nantes,Paris Saint-Germain,nantes,parissaintgermain,3802839,2.3669,3.6631,13,16,7,9,303,740,192,112,159,164,3.184,1.559,2.6471,3.5803,StatsBomb Open Data
2022-02-26,Paris Saint-Germain,Saint-Étienne,parissaintgermain,saintetienne,3802709,2.0432,0.864,21,13,8,6,667,399,111,207,169,174,2.273,2.581,3.7415,2.6035,StatsBomb Open Data
2022-03-05,OGC Nice,Paris Saint-Germain,ogcnice,parissaintgermain,3802805,0.634,0.5226,11,8,6,2,512,693,213,152,160,197,2.903,1.984,3.0513,3.015,StatsBomb Open Data
